1#Larissa Pires Batista#Theo Batista do Nascimento#Maria Alice Pires de Souza#Rua Pietro Santos  , nº37#11.640.885-7#(11) 95233-7581#Larissa.Batista@coutinhos.com.br#R$2500.00#Marketing
125#Matheus Monteiro Greco#Bernardo Greco da Silva#Maria Eduarda Monteiro  #Travessa Silvanio Greco  , nº323#56.875.930-8#(11) 95340-3636#Matheus.Greco@coutinhos.com.br#R$2700.00#Comercial
126#Antonella Cavalcante Ferreira#Joao Vitor Ferreira da Silva#Ana Clara Cavalcante de Andrade#Alameda Lavinia Bianchi  , nº1556#33.603.105-6#(11) 99422-1325#Antonella.Ferreira@coutinhos.com.br#R$1700.00#Recursos Humanos
127#Larissa Fontana Sousa#Daniel Sousa  #Ayla Fontana  #Travessa Antonio Esposito de Paula, nº865#95.707.712-1#(11) 97078-1046#Larissa.Sousa@coutinhos.com.br#R$4700.00#Financeiro
128#Victor Braga Ferrari#Vinicius Ferrari  #Maria Valentina Braga de Freitas#Rua Bernardo Carneiro da Cruz, nº1742#23.498.146-1#(11) 99514-1645#Victor.Ferrari@coutinhos.com.br#R$2000.00#Contabilidade
129#Leonardo Conti Santoro#Otto Santoro da Costa#Melina Conti  #Praça Rafael Marino de Oliveira, nº1091#65.474.485-7#(11) 94673-9217#Leonardo.Santoro@coutinhos.com.br#R$3200.00#Financeiro
130#Enzo Medeiros Gladys#Davi Luiz Gladys  #Melina Medeiros  #Travessa Caleb Henrique  , nº2347#31.249.126-8#(11) 99931-1528#Enzo.Gladys@coutinhos.com.br#R$2800.00#Marketing
131#Rebeca Miranda Souza#Henry Souza da Costa#Ana Beatriz Miranda  #Travessa Guilherme Santana  , nº2301#22.730.816-5#(11) 91859-1228#Rebeca.Souza@coutinhos.com.br#R$3300.00#Estoque
132#Arthur Gladys Greco#Davi Greco  #Isadora Gladys de Luca#Travessa Liz Dantas da Costa, nº1981#73.600.166-6#(11) 92995-3547#Arthur.Greco@coutinhos.com.br#R$3000.00#Marketing
133#Pietro Colombo Lopes#Davi Lucca Lopes dos Anjos#Ursula Colombo de Castro#Travessa Leticia Sousa  , nº2291#72.409.775-3#(11) 91235-4482#Pietro.Lopes@coutinhos.com.br#R$3700.00#Marketing
134#Elisa Machado Neves#Francisco Neves de Jesus#Eduarda Machado  #Avenida Nicolas Guimaraes  , nº861#14.574.279-1#(11) 98988-1967#Elisa.Neves@coutinhos.com.br#R$3000.00#Marketing
135#Maite Moura Cavalcante#Nicolas Cavalcante de Oliveira#Maria Clara Moura de Jesus#Avenida Eloa Greco de Luca, nº398#61.554.645-8#(11) 91548-9172#Maite.Cavalcante@coutinhos.com.br#R$2800.00#Recursos Humanos
136#Gael Vieira Souza#Joao Guilherme Souza da Rocha#Liz Vieira  #Praça Anderson Oliveira de Jesus, nº33#52.718.374-9#(11) 91656-9723#Gael.Souza@coutinhos.com.br#R$3300.00#Estoque
137#Miguel Santana Esposito#Pedro Henrique Esposito da Costa#Gabrielly Santana de Jesus#Praça Adriano Guimaraes de Lima, nº1023#31.436.797-7#(11) 93917-5261#Miguel.Esposito@coutinhos.com.br#R$4700.00#Contabilidade
138#Valentina Dantas Nascimento#Nicolas Nascimento de Andrade#Clarice Dantas da Cruz#Rua Guilherme Rodrigues da Costa, nº2240#18.308.644-6#(11) 97645-2297#Valentina.Nascimento@coutinhos.com.br#R$4900.00#Administrativo
139#Alicia Giordano Barbosa#Anthony Gabriel Barbosa  #Melina Giordano da Cunha#Alameda Pedro Jhonatta  , nº1907#71.580.139-7#(11) 97995-7940#Alicia.Barbosa@coutinhos.com.br#R$2700.00#Marketing
140#Lavinia Souza Marques#Yan Marques de Lima#Bianca Souza  #Praça Antonio Marino da Conceicao, nº285#93.388.265-4#(11) 98259-2962#Lavinia.Marques@coutinhos.com.br#R$4200.00#Contabilidade
141#Rafaela Campos Teixeira#Enzo Teixeira da Conceicao#Valentina Campos da Cruz#Rua Pedro Silveira  , nº189#38.467.214-7#(11) 92180-8379#Rafaela.Teixeira@coutinhos.com.br#R$4600.00#Financeiro
142#Livia Lombardi Barros#Antonhy Barros da Costa#Marina Lombardi de Melo#Alameda Anthony Rocha dos Anjos, nº608#48.508.226-7#(11) 97214-7231#Livia.Barros@coutinhos.com.br#R$2600.00#Financeiro
143#Helena Correia Campos#Rodrigo Campos  #Fernanda Correia da Costa#Avenida Gabriela Gomes da Cunha, nº1808#80.409.361-3#(11) 91034-6761#Helena.Campos@coutinhos.com.br#R$2400.00#Administrativo
144#Henrique Rodrigues Freitas#Raul Freitas de Castro#Ana Cecília Rodrigues de Andrade#Alameda Clara Greco  , nº1553#11.743.821-1#(11) 93392-9143#Henrique.Freitas@coutinhos.com.br#R$1900.00#Contabilidade
145#Cecilia Lombardi Coutinho#Henry Coutinho de Castro#Maria Isis Lombardi de Sousa#Alameda Guilherme Vieira da Costa, nº178#46.953.687-3#(11) 97730-4956#Cecilia.Coutinho@coutinhos.com.br#R$1800.00#Recursos Humanos
146#Liz Cordeiro Bezerra#Vicente Bezerra dos Reis#Ana Beatriz Cordeiro de Jesus#Rua Julia Conceicao da Silva, nº696#61.997.898-4#(11) 91517-1736#Liz.Bezerra@coutinhos.com.br#R$1900.00#Comercial
147#Waldecir Pinheiro Gallo#Caleb Gallo de Almeida#Maria Julia Pinheiro  #Alameda Benjamin Oliveira  , nº1094#46.129.107-6#(11) 95604-9622#Waldecir.Gallo@coutinhos.com.br#R$4200.00#Contabilidade
148#Alice Gladys Cavalcante#Arthur Miguel Cavalcante de Carvalho#Maria Eduarda Gladys  #Alameda Vicente Almeida da Costa, nº1210#59.195.143-7#(11) 92351-5930#Alice.Cavalcante@coutinhos.com.br#R$2800.00#Recursos Humanos
149#Adriano Fontana Cruz#Augusto Cruz de Sousa#Maria Clara Fontana de Paula#Praça Eloa Cavalcante  , nº2371#45.760.789-9#(11) 98443-4185#Adriano.Cruz@coutinhos.com.br#R$1700.00#Recursos Humanos
150#Leonardo Andrade Campos#Lucca Campos de Paula#Liz Andrade  #Rua Bento Almeida dos Anjos, nº811#78.779.708-9#(11) 93329-5278#Leonardo.Campos@coutinhos.com.br#R$3500.00#Administrativo
